"","Profile","Family","Collection_Date","Location","Tree_Loss_.","Fire","Flood","Anthro_Activity","Av_temp_high","Av_temp_low","Precipitation","Elevation","Plant_SR"
"90","92","Asteraceae",2005,"Villamassargia, Italy",NA,NA,0,1,21,11,427,"121","1886"
"91","93","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"329"
"92","94","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"329"
"93","95","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"353"
"94","96","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"91"
"95","97","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"353"
"96","98","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"835"
"97","99","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"835"
"98","100","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"835"
"99","101","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"329"
"100","102","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"329"
"101","103","Asteraceae",1998,"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,"285"
"102","104","Asteraceae",1998,"Tunisia (Bengardane)",13,207,0,1,27,15,126.9,"10.4","741"
"103","105","Asteraceae",1998,"Tunisia (Jerba)",13,207,0,1,25,16.5,202.5,"6","812"
"104","106","Asteraceae",1998,"Tunisia (Tataouine)",13,207,0,1,26.8,14.9,107.3,NA,"1288"
"105","107","Asteraceae",2004,"Iran",NA,NA,NA,NA,NA,NA,NA,NA,"1619"
"106","108","Asteraceae",2013,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,"1732"
"107","109","Asteraceae",2013,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,"1732"
"108","110","Asteraceae",2004,"Iran",NA,NA,NA,NA,NA,NA,NA,NA,"1619"
"109","111","Asteraceae",NA,"Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,"1288"
"110","112","Asteraceae",2013,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,"1732"
"111","113","Asteraceae",2013,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,"1732"
"112","114","Asteraceae",2004,"Iran",NA,NA,NA,NA,NA,NA,NA,NA,"832"
"113","115","Asteraceae",2013,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,"1732"
"114","164","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"115","165","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"116","166","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"117","167","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"118","168","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"119","169","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"120","170","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"121","171","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"122","172","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"123","173","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"124","174","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"125","175","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"126","176","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"127","177","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"128","178","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"129","179","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"130","180","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"131","181","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"132","182","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"133","183","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"134","184","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"135","271","Myrtaceae",2010,"Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,NA,"823"
"136","272","Myrtaceae",NA,"Morocco",NA,NA,NA,NA,NA,NA,NA,NA,"2804"
"137","273","Myrtaceae",2009,"Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,"1288"
"138","274","Myrtaceae",NA,"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,"1833"
"139","275","Myrtaceae",1996,"Divjake (Albania)",6.2,54,1,0,21,11,658.6,"1","1528"
"140","276","Myrtaceae",1996,"Elbasan (Albania)",6.2,54,1,1,19.5,10.1,1066,"123","1528"
"141","277","Myrtaceae",NA,"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,"1833"
"142","278","Myrtaceae",1996,"Divjake (Albania)",6.2,54,1,0,21,11,658.6,"1","1528"
"143","279","Myrtaceae",1996,"Elbasan (Albania)",6.2,54,1,1,19.5,10.1,1066,"123","1528"
"144","280","Myrtaceae",2006,"Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,"1288"
"145","281","Myrtaceae",2007,"Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,"1288"
"146","282","Myrtaceae",1995,"Adriatic coast",NA,NA,NA,NA,NA,NA,NA,NA,"2522"
"147","283","Myrtaceae",NA,"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,"1833"
"148","284","Myrtaceae",1996,"Divjake (Albania)",6.2,54,1,0,21,11,658.6,"1","1528"
"149","285","Myrtaceae",1996,"Elbasan (Albania)",6.2,54,1,1,19.5,10.1,1066,"123","1528"
"150","286","Myrtaceae",1995,"Jadran coast",NA,NA,NA,NA,NA,NA,NA,NA,"1833"
"151","287","Myrtaceae",NA,"Morocco",NA,NA,NA,NA,NA,NA,NA,NA,"2804"
